,District Number,District Name,School Number,School Name,Gend,Ethn,FRL,ELL,IEP,Mean Score Math,Mean Score EBRW,Zip Code,Median Family Income,Population
98,0220,archuleta county 50 jt,6658,pagosa springs high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,510.869565217391,524.347826086957,81147,59750.0,11593.0
99,0220,archuleta county 50 jt,6658,pagosa springs high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,526.842105263158,561.052631578947,81147,59750.0,11593.0
100,2640,aspen 1,0432,aspen high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,585.263157894737,608.947368421053,81611,96010.0,9821.0
101,2640,aspen 1,0432,aspen high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,574.318181818182,573.636363636364,81611,96010.0,9821.0
102,3145,ault-highland re-9,3962,highland high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,480,458.095238095238,80610,61570.0,2732.0
103,1530,bayfield 10 jt-r,0640,bayfield high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,533.333333333333,551.904761904762,81122,70750.0,7909.0
104,1530,bayfield 10 jt-r,0640,bayfield high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,543.125,523.75,81122,70750.0,7909.0
105,0050,bennett 29j,0775,bennett high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,485,504.5,80102,73732.0,5136.0
106,0050,bennett 29j,0775,bennett high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,471.578947368421,502.631578947368,80102,73732.0,5136.0
107,0480,boulder valley re 2,0924,boulder high school,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,448.181818181818,472.272727272727,80302,111399.0,28003.0
108,0480,boulder valley re 2,0924,boulder high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,582.547169811321,620.849056603774,80302,111399.0,28003.0
109,0480,boulder valley re 2,0924,boulder high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,615.887096774194,627.096774193548,80302,111399.0,28003.0
110,0480,boulder valley re 2,1070,broomfield high school,Female,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,516,539.5,80020,91801.0,49118.0
111,0480,boulder valley re 2,1070,broomfield high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,541.393442622951,559.180327868852,80020,91801.0,49118.0
112,0480,boulder valley re 2,1070,broomfield high school,Male,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,532.941176470588,509.411764705882,80020,91801.0,49118.0
113,0480,boulder valley re 2,1070,broomfield high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,571.181818181818,553.727272727273,80020,91801.0,49118.0
114,0480,boulder valley re 2,1380,centaurus high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,582.452830188679,603.396226415094,80026,86082.0,27389.0
115,0480,boulder valley re 2,1380,centaurus high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,616.621621621622,608.378378378378,80026,86082.0,27389.0
116,0480,boulder valley re 2,2892,fairview high school,Female,Asian,Not FRL Eligible,Not English Learners,Students without IEPs,672.941176470588,672.352941176471,80305,126058.0,17401.0
117,0480,boulder valley re 2,2892,fairview high school,Female,Hispanic,FRL Eligible,English Learners,Students without IEPs,441.764705882353,454.705882352941,80305,126058.0,17401.0
118,0480,boulder valley re 2,2892,fairview high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,616.642857142857,629.142857142857,80305,126058.0,17401.0
119,0480,boulder valley re 2,2892,fairview high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,639.43661971831,629.154929577465,80305,126058.0,17401.0
