,SAT Math,SAT EBRW,PSAT Math,PSAT EBRW,Median Family Income,Gend_Female,Gend_Male,Ethn_Asian,Ethn_Black,Ethn_Hispanic,Ethn_Two or More Races,Ethn_White,FRL_FRL Eligible,FRL_Not FRL Eligible,ELL_English Learners,ELL_Not English Learners,IEP_Students with IEPs,IEP_Students without IEPs
81,477.435897435897,482.820512820513,,,75231.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
82,531.25,543.125,,,75231.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
83,539.0,540.75,487.179487179487,508.974358974359,75231.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
84,467.368421052632,468.421052631579,413.846153846154,402.307692307692,75231.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
85,432.631578947368,414.210526315789,435.238095238095,439.047619047619,75231.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
86,509.354838709677,504.516129032258,440.625,450.0,75231.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
87,497.0,486.5,,,75231.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
88,555.161290322581,556.129032258065,485.454545454545,503.939393939394,75231.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
89,422.777777777778,426.666666666667,403.225806451613,421.935483870968,101593.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
90,488.571428571429,487.142857142857,,,101593.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
91,500.454545454545,496.363636363636,452.857142857143,485.238095238095,101593.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
92,533.333333333333,523.703703703704,463.2,485.6,101593.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
93,543.157894736842,542.105263157895,488.076923076923,471.538461538462,101593.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
94,485.769230769231,501.153846153846,,,46353.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
95,531.052631578947,562.105263157895,502.631578947368,521.052631578947,46353.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
96,509.230769230769,513.461538461538,,,46353.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
97,554.090909090909,564.090909090909,520.526315789474,493.684210526316,46353.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
98,510.869565217391,524.347826086957,440.869565217391,499.130434782609,59750.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
99,526.842105263158,561.052631578947,498.333333333333,504.444444444444,59750.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
100,585.263157894737,608.947368421053,519.056603773585,523.962264150943,96010.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
101,574.318181818182,573.636363636364,510.0,503.673469387755,96010.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
102,480.0,458.095238095238,463.181818181818,438.636363636364,61570.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
103,533.333333333333,551.904761904762,500.5,527.0,70750.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
104,543.125,523.75,486.129032258065,489.354838709677,70750.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
105,485.0,504.5,470.625,483.125,73732.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
106,471.578947368421,502.631578947368,456.315789473684,461.578947368421,73732.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
107,448.181818181818,472.272727272727,,,111399.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
108,582.547169811321,620.849056603774,524.029850746269,569.029850746269,111399.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
109,615.887096774194,627.096774193548,573.405797101449,576.014492753623,111399.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
110,516.0,539.5,496.0,520.0,91801.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
111,541.393442622951,559.180327868852,494.016393442623,526.311475409836,91801.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
112,532.941176470588,509.411764705882,,,91801.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
113,571.181818181818,553.727272727273,530.825688073395,524.954128440367,91801.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
114,582.452830188679,603.396226415094,561.063829787234,585.957446808511,86082.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115,616.621621621622,608.378378378378,557.910447761194,567.910447761194,86082.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116,672.941176470588,672.352941176471,621.176470588235,617.647058823529,126058.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
117,441.764705882353,454.705882352941,,,126058.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
118,616.642857142857,629.142857142857,557.407407407407,585.061728395062,126058.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119,639.43661971831,629.154929577465,586.4375,575.9375,126058.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120,562.5,588.823529411765,520.909090909091,548.881118881119,119674.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
121,587.935483870968,587.935483870968,546.708860759494,543.101265822785,119674.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
122,533.04347826087,596.086956521739,491.25,554.375,111399.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
123,533.333333333333,589.047619047619,,,111399.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
124,594.150943396226,624.339622641509,547.272727272727,593.636363636364,86082.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
125,639.824561403509,644.035087719298,579.827586206897,588.793103448276,86082.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
126,551.111111111111,535.0,502.272727272727,501.818181818182,51229.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
127,503.0,490.5,474.0,474.0,51229.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
128,519.047619047619,549.047619047619,485.0,533.181818181818,56250.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
129,452.068965517241,491.379310344828,448.965517241379,482.068965517241,49816.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
130,480.46875,525.46875,465.245901639344,497.868852459016,49816.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
131,450.3125,451.25,442.666666666667,455.333333333333,49816.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
132,492.363636363636,499.636363636364,453.064516129032,460.0,49816.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
133,510.0,543.333333333333,477.391304347826,506.95652173913,79205.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
134,541.0,560.0,490.0,497.941176470588,79205.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
135,502.941176470588,551.176470588235,,,85047.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
136,553.666666666667,596.5,505.090909090909,542.909090909091,85047.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
137,563.333333333333,578.666666666667,500.0,503.333333333333,85047.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
138,574.897959183673,592.65306122449,540.909090909091,568.181818181818,114291.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
139,591.739130434783,610.434782608696,541.75,561.0,114291.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
140,550.0,575.348837209302,512.727272727273,542.121212121212,55404.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
141,617.142857142857,618.928571428571,540.689655172414,564.48275862069,55404.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
142,420.416666666667,441.666666666667,425.161290322581,428.064516129032,42860.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
143,587.058823529412,630.588235294118,539.0,590.0,59594.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
144,628.928571428571,595.357142857143,579.090909090909,592.727272727273,113784.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
145,533.928571428571,560.0,477.083333333333,521.666666666667,113784.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
146,517.941176470588,552.647058823529,468.518518518519,522.962962962963,113784.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
147,552.105263157895,572.105263157895,520.0,548.75,113784.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
148,556.621621621622,579.189189189189,502.338709677419,547.822580645161,113784.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
149,628.75,586.666666666667,,,113784.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
150,541.176470588235,542.352941176471,489.5,503.5,113784.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
151,540.25641025641,563.589743589744,494.0,527.142857142857,113784.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
152,602.941176470588,619.411764705882,,,113784.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
153,557.575757575758,569.151515151515,517.777777777778,524.236111111111,113784.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
154,652.641509433962,626.037735849057,598.378378378378,594.864864864865,118911.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
