,Mean Score Math,Mean Score EBRW,Median Family Income,Gend_Female,Gend_Male,Ethn_Asian,Ethn_Black,Ethn_Hispanic,Ethn_Two or More Races,Ethn_White,FRL_FRL Eligible,FRL_Not FRL Eligible,ELL_English Learners,ELL_Not English Learners,IEP_Students with IEPs,IEP_Students without IEPs
214,-0.24565154091755043,-0.25457803026478265,-0.6471772051888496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
463,1.3127284851071082,1.0788501746983334,0.7763871240557202,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
131,-0.9181448118361584,-1.1406583485981228,-1.1317133359501388,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
288,1.6350717419079461,1.9005829586350025,3.1414396354686676,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
549,0.12995045023205806,-0.1997986613439649,-0.13320192540918835,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
249,1.5896428942683887,2.030394382825599,0.5061518671076222,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
25,-0.2751105206155618,-0.07082688399002415,0.5614410086202087,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
459,0.8072792076700339,0.6673877780723804,1.4213867807678349,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
466,0.5646778583811942,0.7845380046533785,0.3505679809255952,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
81,-0.478679623913347,-0.6066642305080332,-0.1067873464954435,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
614,0.059739881951809785,0.13496414872774434,-0.39222610916946804,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
146,1.9758711602376329,1.2968176309014157,1.44796267008716,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
450,-0.2751105206155618,-0.4752783979292804,0.5168386814773052,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
181,0.9040669722964028,0.6987751972695567,1.44796267008716,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
279,1.0496771252154788,0.7087248040085363,-0.19800838085100206,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
289,-1.25578445003612,-1.5089901717573546,0.9744763021081091,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
93,0.5861770173972698,0.39609768699974374,0.9563288814803454,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
574,1.1000882134687509,1.0300724332309028,-0.12005512735440847,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
97,0.7633185137392442,0.7679701895905965,-1.2713678195811287,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
153,0.5391658925755476,0.7594933101894515,1.44796267008716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
510,0.13347271954377907,0.3899047967640453,-0.02653541971933319,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
187,0.57551751816444,0.4239173111054207,-1.134616923250581,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
