,District Number,District Name,School Number,School Name,2018 EBRW Mean SAT,2018 Math Mean SAT,2018 Overall Mean Score SAT,2017 EBRW Mean PSAT10,2017 Math Mean PSAT10,2017 Overall Mean Score PSAT10,Zip Code,Median Family Income,Population
181,1195,garfield re-2,0065,coal ridge high school,504,499,1003,476,457,934,81647,80161.0,6961.0
182,1195,garfield re-2,7360,rifle high school,471,460,930,441,422,863,81650,57333.0,13431.0
183,1220,garfield 16,3586,grand valley high school,465,463,928,425,426,852,81635,72404.0,6409.0
184,1330,gilpin county re-1,1634,gilpin county undivided high school,507,500,1008,481,473,955,80403,115610.0,18345.0
185,1340,west grand 1-jt,9420,west grand high school,485,468,954,441,450,891,80459,65260.0,2651.0
186,1350,east grand 2,5864,middle park high school,530,515,1045,476,469,946,80446,70156.0,3604.0
187,1360,gunnison watershed re1j,2006,crested butte secondary school,567,567,1134,533,519,1051,81224,87745.0,3677.0
188,1360,gunnison watershed re1j,3694,gunnison high school,510,500,1011,483,466,949,81230,63895.0,9235.0
189,1390,huerfano re-1,9212,john mall high school,471,443,915,408,412,821,81089,42500.0,4399.0
190,1420,jefferson county r-1,0033,mc lain high school,423,401,824,398,386,783,80228,86572.0,31455.0
191,1420,jefferson county r-1,0108,alameda international junior/senior high school,435,420,855,411,409,819,80232,71457.0,21642.0
192,1420,jefferson county r-1,0370,arvada high school,450,433,883,416,422,838,80004,81927.0,36680.0
193,1420,jefferson county r-1,0378,arvada west high school,528,518,1046,489,481,970,80004,81927.0,36680.0
194,1420,jefferson county r-1,0664,bear creek high school,514,510,1024,473,467,940,80227,69170.0,34139.0
195,1420,jefferson county r-1,1451,addenbrooke classical academy,538,525,1062,499,484,983,80235,74250.0,7888.0
196,1420,jefferson county r-1,1522,chatfield high school,561,574,1135,516,523,1039,80127,113125.0,44570.0
197,1420,jefferson county r-1,1864,columbine high school,544,531,1075,515,497,1012,80123,90695.0,44795.0
198,1420,jefferson county r-1,1880,compass montessori - golden charter school,554,501,1055,496,452,948,80403,115610.0,18345.0
199,1420,jefferson county r-1,1886,conifer senior high school,562,549,1110,527,512,1040,80433,107674.0,8348.0
200,1420,jefferson county r-1,2093,dakota ridge senior high school,545,534,1079,502,490,992,80127,113125.0,44570.0
201,1420,jefferson county r-1,2120,d'evelyn junior/senior high school,645,652,1297,592,591,1183,80235,74250.0,7888.0
202,1420,jefferson county r-1,2836,evergreen high school,605,594,1200,540,534,1075,80439,117369.0,23746.0
203,1420,jefferson county r-1,3393,golden view classical academy,626,594,1220,555,528,1084,80401,97131.0,39336.0
204,1420,jefferson county r-1,3502,golden high school,553,547,1100,508,497,1005,80401,97131.0,39336.0
205,1420,jefferson county r-1,3628,green mountain high school,547,521,1067,484,471,955,80228,86572.0,31455.0
206,1420,jefferson county r-1,4408,jeffco's 21st century virtual academy,497,463,960,452,430,882,80401,97131.0,39336.0
207,1420,jefferson county r-1,4410,jefferson academy high school,594,574,1167,553,538,1091,80020,91801.0,49118.0
208,1420,jefferson county r-1,4422,jefferson junior/senior high school,435,414,849,403,397,800,80214,45779.0,25598.0
209,1420,jefferson county r-1,4942,lakewood high school,546,531,1077,510,496,1006,80215,76632.0,18231.0
210,1420,jefferson county r-1,6237,new america school,393,389,782,376,396,772,80226,66541.0,31616.0
